id;V1/video_v1.mp4;V2/video_v2.mp4;V1/video_v1.mp4;video_v31.mp4;video_v31.mp4;video_v32.mp4;video_v32.mp4;size;
1;true;true;true;true;true;true;true;21614727
2;true;true;true;true;true;true;true;21614727
3;true;true;true;true;true;true;true;21614727
4;true;true;true;true;true;true;true;18459327
5;true;true;true;true;true;true;true;18459327
6;true;true;true;true;true;true;true;18459327
7;true;true;true;true;true;true;true;21435029
8;true;true;true;true;true;true;true;21435029
9;true;true;true;true;true;true;true;21435029
10;true;true;true;true;true;true;true;18279629
11;true;true;true;true;true;true;true;18279629
12;true;true;true;true;true;true;true;18279629
13;true;false;true;true;true;true;true;21231096
14;true;false;true;true;true;true;true;21231096
15;true;false;true;true;true;true;true;21231096
16;true;false;true;true;true;true;true;18075696
17;true;false;true;true;true;true;true;18075696
18;true;false;true;true;true;true;true;18075696
19;true;false;true;true;true;true;true;21051398
20;true;false;true;true;true;true;true;21051398
21;true;false;true;true;true;true;true;21051398
22;true;false;true;true;true;true;true;17895998
23;true;false;true;true;true;true;true;17895998
24;true;false;true;true;true;true;true;17895998
